Name,Temperature,WaterHeight,Date,Time,LabLights
,°C,cm,dd/mm,hh/mm,on/off
DSC__0001,15.0,0,07/04,09:00,on
DSC__0002,15.0,0,07/04,09:00,off
DSC__0003,-0.3,0,07/04,09:40,on
DSC__0004,-0.3,0,07/04,09:40,off
DSC__0005,-5.0,0,07/04,10:20,on
DSC__0006,-5.0,0,07/04,10:20,off
DSC__0007,-9.0,0,07/04,11:08,on
DSC__0008,-9.0,0,07/04,11:08,off
DSC__0011,-11.3,0,07/04,12:08,on
DSC__0012,-11.3,0,07/04,12:08,on
DSC__0013,-11.3,0,07/04,12:08,off
DSC__0014,-11.3,0,07/04,12:08,off
DSC__0015,-11.9,0,07/04,14:07,on
DSC__0016,-11.9,0,07/04,14:07,off
DSC__0017,-11.6,0,07/04,15:54,on
DSC__0018,-11.6,0,07/04,15:54,off
DSC__0019,-11.6,0,07/04,15:54,off
DSC__0020,-9.8,0,07/04,17:40,on
DSC__0021,-9.8,0,07/04,17:40,off
DSC__0022,-9.8,0,07/04,17:40,off
DSC__0023,16.9,0,08/04,08:04,on
DSC__0024,16.9,0,08/04,08:04,off
DSC__0025,16.5,10,08/04,09:00,on
DSC__0026,16.5,10,08/04,09:00,off
DSC__0027,15.0,20,08/04,09:34,on
DSC__0028,15.0,20,08/04,09:34,on
DSC__0029,15.0,20,08/04,09:34,off
DSC__0030,16.1,30,08/04,10:03,on
DSC__0031,16.1,30,08/04,10:03,off
DSC__0032,16.0,35,08/04,10:21,on
DSC__0033,16.0,35,08/04,10:21,off
DSC__0034,15.9,40,08/04,10:40,on
DSC__0035,15.9,40,08/04,10:40,off
DSC__0036,16.4,45,08/04,11:08,on
DSC__0037,16.4,45,08/04,11:08,off
DSC__0038,16.4,45,08/04,11:08,off
DSC__0039,3.4,45,08/04,11:42,on
DSC__0040,3.4,45,08/04,11:42,off
DSC__0041,0.1,45,08/04,12:21,on
DSC__0042,0.1,45,08/04,12:21,off
DSC__0043,-2.3,45,08/04,13:23,on
DSC__0044,-2.3,45,08/04,13:23,off
DSC__0045,-1.9,45,08/04,14:38,on
DSC__0046,-1.9,45,08/04,14:38,off
DSC__0047,-4.9,45,08/04,15:40,on
DSC__0048,-4.9,45,08/04,15:40,off
DSC__0050,-6.0,45,08/04,16:30,on
DSC__0051,-6.0,45,08/04,16:30,off
