Image_Index,X_Disp_mm,Y_Disp_mm,Temperature,WaterHeight,Date,Time,LabLights
-,mm,mm,°C,cm,dd/mm,hh/mm,on/off
1,0,0,15,0,07/04,09:00,on
2,0,0,15,0,07/04,09:00,off
3,-1.4882,-0.80076,-0.3,0,07/04,09:40,on
4,-1.3949,-0.74266,-0.3,0,07/04,09:40,off
5,-1.4521,-0.82635,-5,0,07/04,10:20,on
6,-1.3631,-0.77109,-5,0,07/04,10:20,off
7,-1.5611,-0.83765,-9,0,07/04,11:08,on
8,-1.4669,-0.78331,-9,0,07/04,11:08,off
11,-1.6135,-0.84131,-11.3,0,07/04,12:08,on
13,-1.516,-0.81436,-11.3,0,07/04,12:08,off
15,-1.737,-0.99474,-11.9,0,07/04,14:07,on
16,-1.6524,-0.97812,-11.9,0,07/04,14:07,off
17,-1.7191,-1.0764,-11.6,0,07/04,15:54,on
18,-1.645,-1.0452,-11.6,0,07/04,15:54,off
20,-1.7613,-1.1634,-9.8,0,07/04,17:40,on
21,-1.6563,-1.1317,-9.8,0,07/04,17:40,off
23,-1.3376,-1.6301,16.9,0,08/04,08:04,on
24,-1.2344,-1.5976,16.9,0,08/04,08:04,off
25,-1.2794,-1.4547,16.5,10,08/04,09:00,on
26,-1.1783,-1.3896,16.5,10,08/04,09:00,off
27,-1.271,-1.2795,15,20,08/04,09:34,on
29,-1.18,-1.2427,15,20,08/04,09:34,off
30,-1.2764,-1.0997,16.1,30,08/04,10:03,on
31,-1.1765,-1.0569,16.1,30,08/04,10:03,off
32,-1.2596,-1.0291,16,35,08/04,10:21,on
33,-1.161,-0.96833,16,35,08/04,10:21,off
34,-1.2635,-0.94177,15.9,40,08/04,10:40,on
35,-1.1668,-0.88918,15.9,40,08/04,10:40,off
36,-1.2522,-0.83444,16.4,45,08/04,11:08,on
37,-1.165,-0.78365,16.4,45,08/04,11:08,off
39,-1.3282,-0.79994,3.4,45,08/04,11:42,on
40,-1.2379,-0.76332,3.4,45,08/04,11:42,off
41,-1.3394,-0.78548,0.1,45,08/04,12:21,on
42,-1.2403,-0.72938,0.1,45,08/04,12:21,off
43,-1.3978,-0.73381,-2.3,45,08/04,13:23,on
44,-1.3011,-0.67997,-2.3,45,08/04,13:23,off
45,-1.3517,-0.68459,-1.9,45,08/04,14:38,on
46,-1.2613,-0.62651,-1.9,45,08/04,14:38,off
47,-1.3953,-0.6604,-4.9,45,08/04,15:40,on
48,-1.3042,-0.61561,-4.9,45,08/04,15:40,off
50,-1.3992,-0.64624,-6,45,08/04,16:30,on
51,-1.3078,-0.60433,-6,45,08/04,16:30,off
