Mode,Source,Slope_a,Err_a,Intercept_b,Err_b,Uncert_Method
LOW,Sensor1,0.0985288029981926,0.00106270442488775,0.0660972975213606,0.00172858910055559,"MonteCarlo_Propagated"
LOW,Sensor2,0.100666294743827,0.00116282103476572,0.0672900641172512,0.00186936095043256,"MonteCarlo_Propagated"
LOW,Sensor3,0.102731013566404,0.000979265242489196,0.0621452892332009,0.0016208276109317,"MonteCarlo_Propagated"
LOW,Sensor4,0.0971656707648127,0.00127783232521038,0.0652656039834453,0.00227632797361231,"MonteCarlo_Propagated"
LOW,Sensor5,0.101650215603723,0.00148384695061252,0.0546299746566434,0.00252832002643856,"MonteCarlo_Propagated"
LOW,Sensor6,0.0967395380890281,0.0016357046412799,0.0677490202060086,0.00306829292146793,"MonteCarlo_Propagated"
LOW,Mode_ensemble,0.0995802559609979,0.00246564148566252,0.063862874952985,0.00493972857613079,"Max(Prop,Rep)"
HIGH,Sensor1,0.100697543930002,0.000746603227920733,0.262648688959151,0.00112390668094743,"MonteCarlo_Propagated"
HIGH,Sensor2,0.100943490995766,0.000790463094630885,0.265523199276547,0.00122465691052077,"MonteCarlo_Propagated"
HIGH,Sensor3,0.100443725292717,0.000818929493529742,0.26875103897442,0.00123461368474552,"MonteCarlo_Propagated"
HIGH,Sensor4,0.100166963066103,0.000936172964084715,0.25861414891066,0.0013259437227407,"MonteCarlo_Propagated"
HIGH,Sensor5,0.100513257100616,0.00071156331750068,0.257025414045665,0.0010673229835424,"MonteCarlo_Propagated"
HIGH,Sensor6,0.1011643991055,0.000820831593100139,0.258455278015994,0.00117013273905224,"MonteCarlo_Propagated"
HIGH,Mode_ensemble,0.100654896581784,0.000804093948461149,0.261836294697073,0.00462655396910151,"Max(Prop,Rep)"
