Dataset,Has_Ice,T_s,T_set,a_m,H_wave_m,H_over_gT2,twoa_over_gT2,H_over_lambda,a_over_lambda,Ursell_Ur,Depth_Zone,Theory_Zone,lambda_m,k_rad_m,kH,kh,kLd,I_breakup,dI_breakup,h_over_lambda,H_over_lambda_water,ka_set,f_set_Hz,lambda_open_water_set_m,lambda_ratio_ice_over_setwater,d_lambda_ratio_ice_over_setwater
28/04/26,0,1.00000714285714,1,0.00148231299699813,0.00296462599399626,0.0305806028880359,0.000302200167446494,0.218507763515904,0.00107965632601539,0.20697358092518,Intermediate,Linear,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.02,1,1.3729489294698,NaN,NaN
28/04/26,0,1.00000714285714,1,0.00308526479154713,0.00617052958309426,0.0305806028880359,0.000628995049298277,0.218507763515904,0.00224718103151775,0.430791812054586,Intermediate,Linear,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.02,1,1.3729489294698,NaN,NaN
28/04/26,0,1.00000714285714,1,0.00477835383737021,0.00955670767474042,0.0305806028880359,0.000974166274394272,0.218507763515904,0.00348035803430467,0.667195799167195,Intermediate,Stokes-2nd,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.02,1,1.3729489294698,NaN,NaN
28/04/26,0,1.00000714285714,1,0.00563538590633861,0.0112707718126772,0.0305806028880359,0.0011488899901505,0.218507763515904,0.00410458523647698,0.786862156165568,Intermediate,Stokes-2nd,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.02,1,1.3729489294698,NaN,NaN
28/04/26,0,1.33334285714286,1.2,0.0120372495721234,0.0240744991442468,0.0172015891245202,0.00138039880885982,0.169451211837141,0.00679908842394138,2.79477370067815,Intermediate,Stokes-2nd,1.77042109494224,3.54897788166299,1.0646933644989,NaN,NaN,NaN,NaN,NaN,0.169451211837141,0.04,0.833333333333333,1.77042109494224,NaN,NaN
28/04/26,0,1.00000714285714,1,0.00650204772404182,0.0130040954480836,0.0305806028880359,0.00132557692938654,0.218507763515904,0.00473582635484683,0.907873103397642,Intermediate,Stokes-2nd,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.02,1,1.3729489294698,NaN,NaN
28/04/26,0,0.800005714285712,0.8,0.00911120594262962,0.0182224118852592,0.0477821920125564,0.00290235594544449,0.312324375650456,0.00948550569151508,0.622691364846847,Intermediate,Stokes-2nd,0.96053982138029,6.54130642720328,1.96239192816099,NaN,NaN,NaN,NaN,NaN,0.312324375650456,0.06,1.25,0.96053982138029,NaN,NaN
28/04/26,0,0.666671428571427,0.6,0.00965227498009603,0.0193045499601921,0.0688063564980812,0.00442758582198664,0.535025059937172,0.0172140299991865,0.224796827650102,Deep,Stokes-2nd,0.560721398798084,11.2055386519004,3.36166159557012,NaN,NaN,NaN,NaN,NaN,0.535025059937172,0.1,1.66666666666667,0.560721398798084,NaN,NaN
28/04/26,0,1.00000714285714,1,0.00819569222280254,0.0163913844456051,0.0305806028880359,0.00167086139505392,0.218507763515904,0.00596940792689756,1.14435464773587,Intermediate,Stokes-2nd,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.04,1,1.3729489294698,NaN,NaN
28/04/26,0,1.00000714285714,1,0.00903224520463127,0.0180644904092625,0.0305806028880359,0.00184141002526797,0.218507763515904,0.00657871899730408,1.26116153442806,Intermediate,Stokes-2nd,1.3729489294698,4.57641589742599,1.3729247692278,NaN,NaN,NaN,NaN,NaN,0.218507763515904,0.04,1,1.3729489294698,NaN,NaN
