VideoFile,AcousticFile,SetAmplitude_V,SetFrequency_Hz,CameraLocation_m,FrameRate_fps,CamTS_CSV_filename
_DSC7761.MOV,raw_data_HIGH_Sensor2_x3m_280426_a1_f1.csv,1,1,3,59.9400599400599,CamTS__DSC7761_A1.00V_f1.000Hz_x3.00m.csv
_DSC7762.MOV,raw_data_HIGH_Sensor2_x3m_280426_a2_f1.csv,2,1,3,59.9400599400599,CamTS__DSC7762_A2.00V_f1.000Hz_x3.00m.csv
_DSC7763.MOV,raw_data_HIGH_Sensor2_x3m_280426_a3_f1.csv,3,1,3,59.9400599400599,CamTS__DSC7763_A3.00V_f1.000Hz_x3.00m.csv
_DSC7764.MOV,raw_data_HIGH_Sensor2_x3m_280426_a3p5_f1.csv,3.5,1,3,59.9400599400599,CamTS__DSC7764_A3.50V_f1.000Hz_x3.00m.csv
_DSC7760.MOV,raw_data_HIGH_Sensor2_x3m_280426_a4_f0p75.csv,4,0.75,3,59.9400599400599,CamTS__DSC7760_A4.00V_f0.750Hz_x3.00m.csv
_DSC7765.MOV,raw_data_HIGH_Sensor2_x3m_280426_a4_f1.csv,4,1,3,59.9400599400599,CamTS__DSC7765_A4.00V_f1.000Hz_x3.00m.csv
_DSC7758.MOV,raw_data_HIGH_Sensor2_x3m_280426_a4_f1p25.csv,4,1.25,3,59.9400599400599,CamTS__DSC7758_A4.00V_f1.250Hz_x3.00m.csv
_DSC7759.MOV,raw_data_HIGH_Sensor2_x3m_280426_a4_f1p5.csv,4,1.5,3,59.9400599400599,CamTS__DSC7759_A4.00V_f1.500Hz_x3.00m.csv
_DSC7766.MOV,raw_data_HIGH_Sensor2_x3m_280426_a5_f1.csv,5,1,3,59.9400599400599,CamTS__DSC7766_A5.00V_f1.000Hz_x3.00m.csv
_DSC7767.MOV,raw_data_HIGH_Sensor2_x3m_280426_a5p5_f1.csv,5.5,1,3,59.9400599400599,CamTS__DSC7767_A5.50V_f1.000Hz_x3.00m.csv
_DSC7768.MOV,raw_data_HIGH_Sensor2_x3m_280426_a6_f1.csv,6,1,3,59.9400599400599,CamTS__DSC7768_A6.00V_f1.000Hz_x3.00m.csv
_DSC7769.MOV,raw_data_HIGH_Sensor2_x3m_280426_a7_f1.csv,7,1,3,59.9400599400599,CamTS__DSC7769_A7.00V_f1.000Hz_x3.00m.csv
_DSC7770.MOV,raw_data_HIGH_Sensor2_x3m_280426_a8_f1.csv,8,1,3,59.9400599400599,CamTS__DSC7770_A8.00V_f1.000Hz_x3.00m.csv
_DSC7744.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a1_f1.csv,1,1,9.4,59.9400599400599,CamTS__DSC7744_A1.00V_f1.000Hz_x9.40m.csv
_DSC7745.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a2_f1.csv,2,1,9.4,59.9400599400599,CamTS__DSC7745_A2.00V_f1.000Hz_x9.40m.csv
_DSC7747.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a3_f1.csv,3,1,9.4,59.9400599400599,CamTS__DSC7747_A3.00V_f1.000Hz_x9.40m.csv
_DSC7748.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a3p5_f1.csv,3.5,1,9.4,59.9400599400599,CamTS__DSC7748_A3.50V_f1.000Hz_x9.40m.csv
_DSC7756.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a4_f0p75.csv,4,0.75,9.4,59.9400599400599,CamTS__DSC7756_A4.00V_f0.750Hz_x9.40m.csv
_DSC7749.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a4_f1.csv,4,1,9.4,59.9400599400599,CamTS__DSC7749_A4.00V_f1.000Hz_x9.40m.csv
_DSC7757.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a4_f1p25.csv,4,1.25,9.4,59.9400599400599,CamTS__DSC7757_A4.00V_f1.250Hz_x9.40m.csv
_DSC7755.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a4_f1p5.csv,4,1.5,9.4,59.9400599400599,CamTS__DSC7755_A4.00V_f1.500Hz_x9.40m.csv
_DSC7750.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a5_f1.csv,5,1,9.4,59.9400599400599,CamTS__DSC7750_A5.00V_f1.000Hz_x9.40m.csv
_DSC7751.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a5p5_f1.csv,5.5,1,9.4,59.9400599400599,CamTS__DSC7751_A5.50V_f1.000Hz_x9.40m.csv
_DSC7752.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a6_f1.csv,6,1,9.4,59.9400599400599,CamTS__DSC7752_A6.00V_f1.000Hz_x9.40m.csv
_DSC7753.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a7_f1.csv,7,1,9.4,59.9400599400599,CamTS__DSC7753_A7.00V_f1.000Hz_x9.40m.csv
_DSC7754.MOV,raw_data_HIGH_Sensor6_x9p4m_280426_a8_f1.csv,8,1,9.4,59.9400599400599,CamTS__DSC7754_A8.00V_f1.000Hz_x9.40m.csv
