Acoustic_sensor_filename,Video_filename,Set_volt_V,Set_f_Hz,Mode,Camera_loc_m,vid_t_start_s,vid_t_end_s,wave_time_series_sidecam
raw_data_HIGH_Sensor6_x9p4m_280426_a1_f1.csv,_DSC7744.MOV,1,1,HIGH,9.4,100,200,CamTS__DSC7744_A1.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a2_f1.csv,_DSC7745.MOV,2,1,HIGH,9.4,100,200,CamTS__DSC7745_A2.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a3_f1.csv,_DSC7747.MOV,3,1,HIGH,9.4,80,200,CamTS__DSC7747_A3.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a3p5_f1.csv,_DSC7748.MOV,3.5,1,HIGH,9.4,100,200,CamTS__DSC7748_A3.50V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a4_f1.csv,_DSC7749.MOV,4,1,HIGH,9.4,100,200,CamTS__DSC7749_A4.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a5_f1.csv,_DSC7750.MOV,5,1,HIGH,9.4,100,200,CamTS__DSC7750_A5.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a5p5_f1.csv,_DSC7751.MOV,5.5,1,HIGH,9.4,125,225,CamTS__DSC7751_A5.50V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a6_f1.csv,_DSC7752.MOV,6,1,HIGH,9.4,150,300,CamTS__DSC7752_A6.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a7_f1.csv,_DSC7753.MOV,7,1,HIGH,9.4,80,200,CamTS__DSC7753_A7.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a8_f1.csv,_DSC7754.MOV,8,1,HIGH,9.4,80,200,CamTS__DSC7754_A8.00V_f1.000Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a4_f1p5.csv,_DSC7755.MOV,4,1.5,HIGH,9.4,50,200,CamTS__DSC7755_A4.00V_f1.500Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a4_f0p75.csv,_DSC7756.MOV,4,0.75,HIGH,9.4,50,200,CamTS__DSC7756_A4.00V_f0.750Hz_x9.40m.csv
raw_data_HIGH_Sensor6_x9p4m_280426_a4_f1p25.csv,_DSC7757.MOV,4,1.25,HIGH,9.4,80,200,CamTS__DSC7757_A4.00V_f1.250Hz_x9.40m.csv
raw_data_HIGH_Sensor2_x3m_280426_a4_f1p25.csv,_DSC7758.MOV,4,1.25,HIGH,3,80,200,CamTS__DSC7758_A4.00V_f1.250Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a4_f1p5.csv,_DSC7759.MOV,4,1.5,HIGH,3,80,200,CamTS__DSC7759_A4.00V_f1.500Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a4_f0p75.csv,_DSC7760.MOV,4,0.75,HIGH,3,80,200,CamTS__DSC7760_A4.00V_f0.750Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a1_f1.csv,_DSC7761.MOV,1,1,HIGH,3,80,200,CamTS__DSC7761_A1.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a2_f1.csv,_DSC7762.MOV,2,1,HIGH,3,100,200,CamTS__DSC7762_A2.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a3_f1.csv,_DSC7763.MOV,3,1,HIGH,3,80,200,CamTS__DSC7763_A3.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a3p5_f1.csv,_DSC7764.MOV,3.5,1,HIGH,3,80,200,CamTS__DSC7764_A3.50V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a4_f1.csv,_DSC7765.MOV,4,1,HIGH,3,70,200,CamTS__DSC7765_A4.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a5_f1.csv,_DSC7766.MOV,5,1,HIGH,3,80,200,CamTS__DSC7766_A5.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a5p5_f1.csv,_DSC7767.MOV,5.5,1,HIGH,3,80,200,CamTS__DSC7767_A5.50V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a6_f1.csv,_DSC7768.MOV,6,1,HIGH,3,80,200,CamTS__DSC7768_A6.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a7_f1.csv,_DSC7769.MOV,7,1,HIGH,3,80,200,CamTS__DSC7769_A7.00V_f1.000Hz_x3.00m.csv
raw_data_HIGH_Sensor2_x3m_280426_a8_f1.csv,_DSC7770.MOV,8,1,HIGH,3,80,200,CamTS__DSC7770_A8.00V_f1.000Hz_x3.00m.csv
