T_s,f_Hz,omega_rad_s,k_rad_m,lambda_m,kh,ka,a_m,H_m,V_set_V,Flags
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.02,0.00178483164632234,0.00356966329264468,1.27786689349577,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.04,0.00356966329264468,0.00713932658528936,2.24836760595392,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.06,0.00535449493896702,0.010708989877934,3.21886831841207,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.08,0.00713932658528936,0.0142786531705787,4.18936903087023,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.1,0.0089241582316117,0.0178483164632234,5.15986974332838,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.02,0.00305749321218559,0.00611498642437118,1.96987555377102,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.04,0.00611498642437118,0.0122299728487424,3.63238492650442,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.06,0.00917247963655677,0.0183449592731135,5.29489429923782,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.08,0.0122299728487424,0.0244599456974847,6.95740367197123,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.1,0.0152874660609279,0.0305749321218559,8.61991304470463,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.02,0.00437023217475689,0.00874046434951377,2.68367626493172,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.04,0.00874046434951377,0.0174809286990275,5.05998634882583,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.06,0.0131106965242707,0.0262213930485413,7.43629643271994,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.08,0.0174809286990275,0.0349618573980551,9.81260651661405,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.1,0.0218511608737844,0.0437023217475689,12.1889166005082,V>10V
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.02,0.00563542537228446,0.0112708507445689,3.37162400618102,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.04,0.0112708507445689,0.0225417014891379,6.43588183132443,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.06,0.0169062761168534,0.0338125522337068,9.50013965646784,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.08,0.0225417014891379,0.0450834029782757,12.5643974816113,V>10V
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.1,0.0281771268614223,0.0563542537228446,15.6286553067547,V>10V
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.02,0.00685681840405176,0.0137136368081035,4.03575544399144,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.04,0.0137136368081035,0.0274272736162071,7.76414470694527,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.06,0.0205704552121553,0.0411409104243106,11.4925339698991,V>10V
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.08,0.0274272736162071,0.0548545472324141,15.2209232328529,V>10V
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.1,0.0342840920202588,0.0685681840405176,18.9493124958067,V>10V
